bdrc-W21865	3258407890	iw804505	61.1d	derive	red
bdrc-W21810	3258396670	iw802606	61.1d	derive	red
bdrc-W21784	3258392631	iw802304	61.1d	derive	red
bdrc-W21747	3258391050	iw902707	61.1d	derive	red
bdrc-W21016	3258364653	iw801705	61.1d	derive	red
bdrc-W20097	3258319793	iw601606	61.1d	derive	red
bdrc-W1PD90033	3258295156	iw902903	61.2d	derive	red
bdrc-W1PD83960	3258251825	iw800405	61.2d	derive	red
bdrc-W1PD76232	3258215787	iw902901	61.3d	derive	red
bdrc-W1PD45095	3258203889	iw800704	61.3d	derive	red
bdrc-W1KG9980	3257493172	iw802605	62.0d	derive	red
bdrc-W1KG89148	3257489658	iw601908	62.0d	derive	red
bdrc-W1KG802	3257473023	iw800309	62.0d	derive	red
bdrc-W1KG5705	3257441940	iw600702	62.1d	derive	red
bdrc-W1KG5665	3257438291	iw800209	62.1d	derive	red
bdrc-W1KG5182	3257426921	iw600207	62.1d	derive	red
bdrc-W1KG13617	3255593181	iw902904	63.6d	derive	red
bdrc-W1KG12986	3255583036	iw800705	63.6d	derive	red
bdrc-W1FEMC030236	3255565205	iw803405	63.6d	derive	red
bdrc-W2CZ7914	3224079774	iw802603	85.1d	derive	red
bdrc-W2CZ6771	3224075085	iw904605	85.1d	derive	red
bdrc-W2CZ6767	3224074537	iw600705	85.1d	derive	red
bdrc-W2CZ5987	3224073317	iw600205	85.1d	derive	red
bdrc-W2CZ5669	3224072641	iw801703	85.1d	derive	red
bdrc-W2CZ5667	3224071725	iw801601	85.1d	derive	red
bdrc-W28960	3224038992	iw600406	85.1d	derive	red
bdrc-W23933	3224014838	iw600700	85.1d	derive	red
bdrc-W23993	3224014609	iw601704	85.1d	derive	red
bdrc-W23828	3224014347	iw600403	85.1d	derive	red
bdrc-W23898	3224013579	iw803403	85.1d	derive	red
bdrc-W23871	3224012839	iw600708	85.1d	derive	red
bdrc-W23637	3223998502	iw601908	85.2d	derive	red
bdrc-W23635	3223997225	iw600207	85.2d	derive	red
bdrc-W23633	3223995046	iw902806	85.2d	derive	red
bdrc-W23450	3223983623	iw600708	85.2d	derive	red
bdrc-W22200	3223936427	iw601907	85.2d	derive	red
bdrc-W21950	3223922461	iw600705	85.2d	derive	red
bdrc-W21894	3223914074	iw600803	85.2d	derive	red
bdrc-W21026	3223883786	iw601704	85.2d	derive	red
bdrc-W1KG988	3223519854	iw904503	85.5d	derive	red
bdrc-W1KG4218	3223421837	iw904605	85.6d	derive	red
bdrc-W1AC408	3217055884	iw902709	91.0d	derive	red
bdrc-W1FEMC034094	3211496635	False	94.9d	derive	red
bdrc-W28948	3078219051	iw903403	178.2d	derive	red
bdrc-W1FEMC020153	3026284140	False	207.1d	derive	red
bdrc-W3CN26879	2902133801	False	261.7d	derive	red
bdrc-W3CN26813	2902117834	False	261.7d	derive	red
bdrc-W1PD137854	2901088759	iw903403	262.0d	derive	red
bdrc-W20077	2869349803	iw802701	274.8d	derive	red
bdrc-W4CZ309048	2866194374	iw601803	276.2d	derive	red
bdrc-W28391	2866163151	False	276.2d	derive	red
bdrc-W29338	2849719046	False	283.1d	derive	red
bdrc-W23947	2849718113	iw903405	283.1d	derive	red
bdrc-W23705	2849718038	False	283.1d	derive	red
bdrc-W23613	2849717407	False	283.1d	derive	red
bdrc-W00KG02689	2195001512	iw902603	1.6y	derive	red
bdrc-W30296	2194991736	iw800706	1.6y	derive	red
bdrc-W00KG02634	2194857517	iw801207	1.6y	derive	red
